,feature_importance,feature_names
356,0.13232490983787104,player_offensive_derived_var_56
243,0.13077470398271382,player_other_ratio_var_30
553,0.13048352675509733,team1_other_raw_var_90
151,0.13046149367638793,player_defensive_raw_var_137
487,0.13005842681920338,team1_defensive_raw_var_24
690,0.12988218145441568,team2_other_raw_var_59
728,0.12906068568482623,team2_other_ratio_var_3
88,0.12806049490805668,player_defensive_raw_var_74
556,0.1274448835923799,team1_other_raw_var_93
429,0.1268299074491736,player_offensive_derived_var_129
594,0.12641464445822698,team1_other_ratio_var_37
341,0.12630120915465448,player_offensive_derived_var_41
18,0.12607851362900888,player_defensive_raw_var_4
731,0.12563982817179262,team2_offensive_ratio_var_6
365,0.12509598323972704,player_defensive_derived_var_65
614,0.12436492433616093,team1_offensive_derived_var_4
271,0.12410661540806361,player_offensive_ratio_var_58
383,0.12371021331438567,player_defensive_derived_var_83
129,0.12344864827792698,player_offensive_raw_var_115
600,0.12289429766836185,team1_other_ratio_var_43
759,0.1228933705644899,team2_other_ratio_var_34
783,0.12271181223905096,team2_offensive_derived_var_5
721,0.12215890443192819,team2_other_raw_var_90
78,0.12211205233473911,player_other_raw_var_64
244,0.12178009584427811,player_other_ratio_var_31
404,0.1208593688337773,player_offensive_derived_var_104
739,0.1203981714407296,team2_other_ratio_var_14
781,0.11985285576135876,team2_defensive_derived_var_3
310,0.11885814654798382,player_physical_derived_var_10
564,0.11837730929895507,team1_other_ratio_var_7
524,0.11784920881214114,team1_other_raw_var_61
302,0.11766528584691015,player_defensive_derived_var_2
742,0.11746453778670438,team2_other_ratio_var_17
358,0.11741105382988558,player_defensive_derived_var_58
372,0.11687149204611556,player_defensive_derived_var_72
82,0.11646903836919645,player_other_raw_var_68
559,0.11586926395605365,team1_defensive_ratio_var_2
541,0.11585218432217984,team1_other_raw_var_78
787,0.11583282482311656,team2_defensive_derived_var_9
438,0.11579067916228421,player_defensive_derived_var_138
551,0.11555983189632549,team1_other_raw_var_88
354,0.11493134206691638,player_physical_derived_var_54
668,0.11484120157771155,team2_other_raw_var_37
262,0.11402786307497817,player_other_ratio_var_49
301,0.11400035621171924,player_defensive_derived_var_1
587,0.11398446557164235,team1_offensive_ratio_var_30
602,0.11396827578284738,team1_other_ratio_var_45
207,0.11341700449427225,player_physical_raw_var_193
780,0.11273386801083846,team2_defensive_derived_var_2
702,0.11265080033192955,team2_defensive_raw_var_71
563,0.11178775395126338,team1_offensive_ratio_var_6
322,0.11046816960849574,player_positional_derived_var_22
504,0.11046662058317647,team1_other_raw_var_41
652,0.11022576098058787,team2_other_raw_var_21
410,0.11020202477841487,player_offensive_derived_var_110
209,0.10989386577614968,player_physical_raw_var_195
570,0.1095572868704649,team1_other_ratio_var_13
201,0.10940545718249149,player_other_raw_var_187
770,0.10903720494485585,team2_other_ratio_var_45
586,0.10839794258963031,team1_other_ratio_var_29
764,0.106990415829478,team2_other_ratio_var_39
790,0.10691163792995942,team2_offensive_derived_var_12
384,0.10644275768155415,player_other_derived_var_84
300,0.10611520351833259,player_defensive_derived_var_0
737,0.10566413942826396,team2_other_ratio_var_12
771,0.10547130069106876,team2_other_ratio_var_46
608,0.10539221059396187,team1_other_ratio_var_51
502,0.10529770203175233,team1_other_raw_var_39
316,0.10519368016225437,player_physical_derived_var_16
683,0.10507222693380422,team2_other_raw_var_52
452,0.10375503276599422,player_general_derived_var_152
398,0.10316265590015627,player_defensive_derived_var_98
73,0.10315630857769688,player_other_raw_var_59
576,0.10292792992509954,team1_other_ratio_var_19
485,0.10239306238604362,team1_other_raw_var_22
313,0.1019900421035239,player_other_derived_var_13
598,0.10110749469931711,team1_other_ratio_var_41
125,0.1009974856527683,player_other_raw_var_111
691,0.10059849080460691,team2_other_raw_var_60
565,0.1005367419126881,team1_other_ratio_var_8
679,0.1004979855782445,team2_other_raw_var_48
560,0.10008709713926317,team1_other_ratio_var_3
369,0.09931390320454142,player_physical_derived_var_69
733,0.0992213107039618,team2_other_ratio_var_8
366,0.09912558566779357,player_defensive_derived_var_66
340,0.0983013858656784,player_physical_derived_var_40
333,0.09816086807548534,player_defensive_derived_var_33
500,0.0975028932051137,team1_other_raw_var_37
678,0.09638063428454528,team2_other_raw_var_47
646,0.096348811164034,team2_other_raw_var_15
791,0.09583251086330899,team2_offensive_derived_var_13
562,0.09576658166792545,team1_defensive_ratio_var_5
706,0.09550597221993586,team2_other_raw_var_75
707,0.09547492317018874,team2_other_raw_var_76
526,0.09473472615881022,team1_other_raw_var_63
422,0.09428998319786036,player_defensive_derived_var_122
83,0.09271952282375319,player_other_raw_var_69
64,0.09219249608498799,player_offensive_raw_var_50
77,0.09129028377058591,player_other_raw_var_63
468,0.09045699091977108,team1_other_raw_var_5
734,0.08991832898773637,team2_offensive_ratio_var_9
748,0.0896735887283432,team2_other_ratio_var_23
490,0.08945096554191777,team1_other_raw_var_27
554,0.08909828273783432,team1_offensive_raw_var_91
752,0.08908346212878399,team2_other_ratio_var_27
584,0.08899970519105599,team1_other_ratio_var_27
774,0.08867543072467543,team2_other_ratio_var_49
701,0.08831435231607054,team2_other_raw_var_70
447,0.08797741725915732,player_other_derived_var_147
591,0.08783513547211197,team1_other_ratio_var_34
561,0.08755487971510831,team1_other_ratio_var_4
135,0.08708661795985824,player_other_raw_var_121
495,0.08598293154288852,team1_other_raw_var_32
625,0.08561505153308778,team1_defensive_derived_var_15
305,0.08450983368858604,player_physical_derived_var_5
392,0.0843954845983597,player_positional_derived_var_92
264,0.0841539730308946,player_offensive_ratio_var_51
70,0.08410738998066855,player_other_raw_var_56
601,0.08372536282611587,team1_other_ratio_var_44
277,0.0835387948169633,player_offensive_ratio_var_64
528,0.08335388709894352,team1_other_raw_var_65
423,0.08291323062879744,player_other_derived_var_123
697,0.08288518388975429,team2_other_raw_var_66
537,0.08242093323259127,team1_other_raw_var_74
515,0.08240531577214344,team1_other_raw_var_52
621,0.08011077041724778,team1_offensive_derived_var_11
155,0.07934512694547026,player_other_raw_var_141
76,0.07859010602428432,player_defensive_raw_var_62
334,0.07843672442859342,player_physical_derived_var_34
325,0.07749677243118192,player_offensive_derived_var_25
303,0.07639526736126055,player_offensive_derived_var_3
348,0.07602121366516615,player_physical_derived_var_48
657,0.07578961824367696,team2_other_raw_var_26
550,0.07573197003646413,team1_other_raw_var_87
785,0.07550497494164961,team2_offensive_derived_var_7
754,0.07473016711014363,team2_other_ratio_var_29
400,0.07387243762567072,player_positional_derived_var_100
106,0.07329005618166134,player_defensive_raw_var_92
480,0.07305345738811428,team1_defensive_raw_var_17
275,0.07269630706491749,player_other_ratio_var_62
792,0.07199593940977507,team2_offensive_derived_var_14
132,0.0719283741073017,player_other_raw_var_118
330,0.07168826802959223,player_physical_derived_var_30
670,0.07157496499613235,team2_other_raw_var_39
312,0.0715542169507506,player_defensive_derived_var_12
732,0.0712649261783966,team2_other_ratio_var_7
498,0.07076433998742783,team1_offensive_raw_var_35
596,0.0707444110112336,team1_other_ratio_var_39
357,0.07061051919602097,player_positional_derived_var_57
375,0.07056812976925386,player_physical_derived_var_75
778,0.07054527426430895,team2_offensive_derived_var_0
629,0.07030855402828907,team1_offensive_derived_var_19
695,0.06922560369299871,team2_other_raw_var_64
407,0.06909078812199107,player_physical_derived_var_107
266,0.06893016057897391,player_offensive_ratio_var_53
756,0.06891722968468744,team2_other_ratio_var_31
574,0.0688382830584817,team1_other_ratio_var_17
654,0.06870765042149513,team2_other_raw_var_23
453,0.06863271075646438,player_offensive_derived_var_153
198,0.06819301833627266,player_other_raw_var_184
700,0.06817971071285339,team2_other_raw_var_69
431,0.06812190211000645,player_physical_derived_var_131
402,0.0680642728864971,player_defensive_derived_var_102
552,0.06796414718265714,team1_other_raw_var_89
676,0.06773844114974949,team2_other_raw_var_45
796,0.06759970067184158,team2_offensive_derived_var_18
660,0.06668892693769737,team2_defensive_raw_var_29
149,0.06591698915413188,player_other_raw_var_135
347,0.06587227902946242,player_offensive_derived_var_47
672,0.06540697656847473,team2_other_raw_var_41
673,0.06519270206640951,team2_other_raw_var_42
230,0.0642699605914398,player_defensive_ratio_var_17
367,0.06419939171263642,player_defensive_derived_var_67
144,0.06410666099018744,player_offensive_raw_var_130
687,0.0639872342841319,team2_other_raw_var_56
